# Star Trek Fleet Command Help
Date: 2024-10-16

USER: 

ASSISTANT: It seems like your message might not have come through fully. How can I assist you with your Star Trek Fleet Command strategy today? Feel free to share your question or request!

USER: 

ASSISTANT: It seems like your message didn't come through again. If you have any questions or need advice on **Star Trek Fleet Command**, feel free to ask! I'm here to help with strategies, crew setups, ship upgrades, and anything else you might need.

USER: 

ASSISTANT: It looks like your message is still blank. If you're experiencing an issue, you can try refreshing the page or sending your message again. Whenever you're ready, feel free to ask anything related to **Star Trek Fleet Command**, and I'll be happy to assist you!

USER: I'm trying to upload excel files for you to analyze. Is there a reason it won't work?

ASSISTANT: Currently, I don't have the ability to analyze or interact with uploaded files, including Excel spreadsheets. However, if you're able to provide specific details or data from the file, I can help you analyze or interpret it.

For example, if you're tracking resource production, ship stats, or crew setups in your Excel file, you can either share some of the key data points here, or describe what you'd like help with, and I'll guide you through it.

Let me know what you're working on, and we can find a way to approach it!

USER: Territory Research Tree List				Inventory	4.30M	25,800	37,500	48,300	10,500	28,150		 
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													

ASSISTANT: It looks like you're working with data from a **bonus tracker** or an **officer tool** that helps you monitor research, buildings, and officer stats in **Star Trek Fleet Command**. Here's a breakdown of how this information could be used:

### **Building and Research Bonuses:**
You seem to have a list of buildings (e.g., **Academy**, **Command Center**, **Mess Hall**) and research (e.g., **Prime Officers**, **Riker's Parry**, **Officer Strengthening**) with their associated levels and completion percentages (most appear to be at 0%).

- **Buildings:** Focus on leveling key buildings that provide the biggest boost to your gameplay, such as the **Operations Level** for base power or the **Mess Hall** for crew bonuses.
  
- **Research:** There are numerous researches listed, each contributing to your officers' attack, defense, health, or fleet capabilities. Prioritize:
  - **Prime Research**: Often boosts critical areas like **Prime Officers** for officer stat improvements.
  - **Officer Training**: Improves the effectiveness of your crews in battle and missions.

### **Fleet Commander and Away Teams Assignments (ATA):**
This section appears to mention **Away Team Analysis** and **Commander Bonuses**, which are integral to missions:
- **ATA Traits**: Focus on officers with traits matching specific ATA missions for maximum rewards.
- **Commanders**: Enhancing **Kirk's** or **Spock's** abilities improves your overall fleet performance during combat.

### **Officer Stats and Orion Syndicate:**
- The **Orion Syndicate** levels and bonuses (attack, defense, health) are vital for improving officer effectiveness in combat. Investing in **Syndicate XP** (via Syndicate progression) will boost these attributes further.
  
- **Officer Enhancements**: Several references to **officer attack**, **defense**, and **health bonuses** highlight the need to upgrade officer ranks to maximize their battle stats.

### Recommendations:
1. **Building Priorities**:
   - **Operations Level**: Ensure your Operations Level is progressing to unlock higher-level buildings and ships.
   - **Command Center** and **Mess Hall**: These are great for crew and officer improvements.

2. **Research Focus**:
   - Work on **Prime Research** and **Officer Training** to maximize officer and crew strength.
   - Identify your short-term goals (PvE, PvP, Armada) and focus on research that aligns with them, such as **attack enhancements** or **defensive improvements**.

3. **Orion Syndicate & Fleet Commanders**:
   - Continue gathering **Orion Syndicate Credits** to level up your **Syndicate** and maximize crew performance.
   - Enhance **Fleet Commanders** (e.g., **Kirk**, **Spock**) as they provide substantial boosts in combat.

If you need more targeted advice, such as which specific research or building to focus on first, feel free to share more about your current level and goals!

USER: 																							                                                       						
								653.816																					
		Boosted By	Officer Abilities		Building, Research, Territories, Orion and Exocomps								Bridge																
			Bridge	All	All	Captain	Bridge	Below Deck																					
		Officer Attack Bonus	0%	0%	0%	0%	0%	0%															Ship Loadout						
Roster		Officer Defence Bonus	0%	0%	0%	0%	0%	0%															Calculator						
		Officer Health Bonus	0%	0%	0%	0%	0%	0%					Lower Deck																
		Above bonuses do not include the base value (100%)																											
		Galaxy Exocomp	Multipurpose Exocomp			Multipurpose Exocomp 2					Ensure you have the Apply Bonuses selected.												238.716						
											Attack		Defence		Health														
758.295		Click to Apply Bonuses (Only applies to officers in active ship slots).					TRUE	Select Ship			0		0		0				Bonus										
		Click to see stats at maximum level. (Including unobtained officers)					FALSE	Attack Bonus											0%				432.927						
		Starbase Assault					TRUE	Defence Bonus											0%										
								Health Bonus											0%										
											There may be a rounding up discrepancy																		
					745.685									689.114		165.648													
																													
		Crew Level (Mess Hall) = 0											Display	Abilities															
		Officer	Lvl	Rank	Attack	Defence	Health	Officer Group	CM Or BDA	OA	Effect	Cause	Use	Captain Manouver, Below Decks and Officer Ability															
	U	0718	0	0	0	0	0	Auxiliary Controls						CM: Increase Critical Hit chance when defending the station OA: Increase Defence of all Officers on the ship															
	R	Ahvix	0	0	0	0	0	Mudd's Crew						CM: Increase Critical hit chance for the first 3 rounds against Eclipse. OA: Chance to decrease Eclipse hostile's mitigation by 40%															
	U	Airiam	0	0	0	0	0	Discovery Crew			Burning	Y		CM: Increase Mining Speed (Isogen) OA: Chance to Inflict Burning when defending a node.															
	R	Alonzo Freeman	0	0	0	0	0	Lower Decks Crew						BDA: Increases Federation, Romulan and Klingon reputation gained from defeating hostiles OA: Increases Cargo Size of the ship															
	E	Andy Billups	0	0	0	0	0	Interceptor Strike Team			Burning		Y	BDA: On round start, if on a Battleship and Enemy Player has Burning, Increases Isolytic Defense for 1 round OA: On round start, if on an Interceptor and Enemy Player has Hull Breach, Increase Isolytic Cascade for 1 round															
	U	Arix	0	0	0	0	0	Nero's Crew			Burning	Y		CM: Chance to cause Burning to opponent after hitting it with energy weapon OA: Increase Armor when ship has less than 70% Hull Health															
	U	Arkady	0	0	0	0	0	Enterprise Crew			Morale	Y		CM: Chance to inspire Morale for 3 rounds when Shield is depleted OA: Increase Shield Health															
	R	Arrock	0	0	0	0	0	Ferengi Conglomerate						CM: Increase Mining speed (Concentrated Latinum) OA: Increase Mining Speed															
	R	Azetbur	0	0	0	0	0	Klingon Patriots			Breach	Y		CM: Chance to cause Hull Breach for 2 rounds after hitting with kinetic weapon OA: Increase Armor Piercing every time the ship hits															
	R	B'Elanna Torres	0	0	0	0	0	Voyager			Breach	Y		BDA: Chance to apply Hull Breach to non-player or Armada for 1 round OA: When taking damage from non-player or Armada, increases Armor Piercing, Shield Piercing and Accuracy by % of Attack for 1 round															
	R	B'Etor	0	0	0	0	0	Pride Of Romulus						CM: When on a ship that can use cloaking, B'Etor increases the duration the ship can stay cloaked OA: When on the Amalgam, B'Etor boosts the Amalgam's bonus loot ship ability															
	R	Ba'el	0	0	0	0	0	Khitomer's Revenge						CM: Increase Weapon Damage OA: Increase Armor by Crew Attack															
	U	Badgey	0	0	0	0	0	Lower Decks Crew						BDA: Increases Armor Penetration, Shield Penetration and Accuracy OA: Decreases Armor, Shield and Dodge of all non-Armada targets															
	R	Barot	0	0	0	0	0	Surveyors & Miners						CM: Increase Mining Speed (Crystal) OA: Decrease opponet's Hull Health at start of battle if mining															
	E	Beckett Mariner	0	0	0	0	0	Lower Decks Crew						BDA: Increase ship's Weapon Damage OA: Increases Attack of all Officers on the ship															
	E	Benjamin Sisko	0	0	0	0	0	Deep Space Nine						CM: Increases Armour, Shield Deflection and Doddge by % of crews Health against armadas. OA: Increases Critical Hit Chance against Armadas (Cumulative)															
	R	Beverly Crusher	0	0	0	0	0	TNG Crew						CM: When fighting Hostiles and Armadas, restore Shield by % of crew's Health OA: When fighting Hostiles and Armadas, increase mitigation by % of crew's Defence.															
	R	Bones	0	0	0	0	0	Enterprise Crew						CM: Increase Officer abilities during combat OA: Increase Defence of all Officers on the bridge when hit															
	E	Borg Queen	0	0	0	0	0	Unimatrix Twelve			Assimilate		Y	BDA: While fighting a player ship with Assimilate, increase ship's Armor Piercing, Shield Piercing and Accuracy. Cumulative. OA: While fighting a Borg Solo Armada, upon receiving Hull Damage, from an enemy shot, increase Critical Hit Chance															
	R	Brad Boimler	0	0	0	0	0	Lower Decks Crew						BDA: Increase Armor, Shield Deflection, and Dodge OA: Increase Armor Piercing, Shield Piercing and Accuracy															
	C	Cadet Kirk	0	0	0	0	0	Another Time						CM: Increase all Officer stats on Bridge OA: Increase Weapon Damage															
	C	Cadet McCoy	0	0	0	0	0	Another Time						CM: Increase Health of all Officers on the ship OA: Increase Captains Maneuver															
	C	Cadet Scotty	0	0	0	0	0	Another Time						CM: Increase Hull Health OA: Increase Warp Distance															
	C	Cadet Sulu	0	0	0	0	0	Another Time						CM: Increase Damage for first round OA: Increase Attack of all Officers on the ship (** Broken Bridge ONLY **)															
	C	Cadet Uhura	0	0	0	0	0	Another Time						CM: Decrease opponents Weapon Damage OA: Increase Shield Health															
	R	Captain Tilly	0	0	0	0	0	Terran Empire			Breach		Y	CM: Increase Mitigation by Health, when on attacking on a capture node and opponent has Hull Breach OA: Increase Mitigation by Health when opponent has Hull Breach															
	E	Carol	0	0	0	0	0	Auxiliary Controls						CM: Decrease opponents Damage when defending in battle OA: Increase Weapon Damage															
	E	Carol Freeman	0	0	0	0	0	Lower Decks Crew		0%	Burning		Y	CM: On combat start against Players, Increase shots OA: On round start, if the Enemy Player has Any State, Increase Isolytic Cascade damage for 1 round															
	R	Cath	0	0	0	0	0	Ferengi Conglomerate						CM: Increase Repair Cost Efficient of ship OA: Decrease Kinetic Damage dealt by Hostiles															
	E	Chakotay	0	0	0	0	0	Voyager						CM: Increases number of shots versus Armadas OA: Increases Critical Hit Chance for 2 rounds each time you hit an Armada															
	R	Chang	0	0	0	0	0	Klingon Patriots			Breach		Y	CM: Increase Damage if opponent Hull Health under 60% OA: Chance to delay opponent's weapon fire for 1 round with a Critical Hit on Hull Breach															
	R	Changeling Kira	0	0	0	0	0	Deep Space Nine						CM: Decreases hit chance of Cardassian Armadas (Cumulative) OA: Decreases Armor, Shield Deflection and Dodge of Armadas															
	E	Charvanek	0	0	0	0	0	Romulan Patriots			Burning	Y		CM: Chance to cause Burning for 3 rounds when Hull Health is lower than 80% OA: Increase Armour Piercing by Health															
	U	Chen	0	0	0	0	0	Starfleet Academy						CM: Increase Mitigations against Hostiles OA: Decrease Energy damage dealt by Hostiles															
	U	Culber	0	0	0	0	0	Discovery Crew						CM: Health to Armour when defending on a Capture Node OA: Increase to Jumping and Summoning Cost Efficiency															
	U	D'Jaoki	0	0	0	0	0	Romulan Patriots			Burning		Y	CM: Increase Officers Health for 1 minute after winning a battle OA: Increases Mitigation by % of Officer Health whilst opponent is burning (Tooltip incorrect)															
	E	D'Vana Tendi	0	0	0	0	0	Lower Decks Crew						BDA: Increase ship's Hull Health OA: Increases Health of all Officers on the ship															
	E	Dajash Tolra	0	0	0	0	0	Symbiosis						CM: Increases base Loot gained from Armadas and Hosiltes OA: Chance to increase base weapon shots by 100% every round against Armadas and Invading Entities for 2 rounds															
	R	Damar	0	0	0	0	0	Interceptor Strike Team			Breach		Y	CM: When on an Interceptor and fighting a player with Hull Breach, when scoring a critical, increases Critical Hit Chance OA: Whilst on Interceptor and fighting a player with Hull Breach, when scoring a critical, decreases opponent's Critical Hit Damage 3 rounds															
	R	Dane	0	0	0	0	0	Galaxy Quest						BDA: Increases your ship's base Impulse Speed OA: Increases the amount of loot gained from defeating Mirror Universe Hostiles when assigned to the NSEA Protector															
	C	Darwin	0	0	0	0	0	Shakedown Cruise						CM: Increase Weapon Damage when attacked by a player OA: Increase Ship XP earned on Interceptors															
	E	Data	0	0	0	0	0	TNG Crew						CM: Increase Critical Hit Chance against Hostiles and Armadas OA: When fighting Non-Player targets, including Mission Hostiles, Increase Penetration.															
	E	Deanna Troi	0	0	0	0	0	TNG Crew						CM: Reduces the Crit Chance of Armada Targets OA: Increases Weapon Damage against Romulan Hostiles and Armadas															
	R	Decius	0	0	0	0	0	Romulan Patriots						CM: Increase Accuracy, Armor Piercing and Shield Piercing against stronger ships. OA: Increase Damage each time the ship gets hit															
	E	DeMarco	0	0	0	0	0	Galaxy Quest			Burning		Y	BDA: Increases Isolytic Cascade Damage in PvP when the enemy player has any state OA: Increases Isolytic Cascade damage against Armadas and Invading Entities															
	R	Dezoc	0	0	0	0	0	Unimatrix Twelve			Assimilate	Y		BDA: At the start of each round, if opponents hull is below 95%, chance to apply Assimilate for 4 rounds OA: While fighting a Borg Solo Armada, increase all officer stats for the duration of combat															
	R	Dixon Hill	0	0	0	0	0	Holodeck						BDA: Increases Mining Speed OA: While Defending a mining node, reduces Shield Mitigation every round (Cumulative)															
	E	Doctor T'Ana	0	0	0	0	0	Lower Decks Crew			Burning	Y		BDA: On round start, increases Isolytic Defense for 1 round OA: On round start, chance to apply a random state to enemy player of 3 rounds															
	C	Domitia	0	0	0	0	0	Surveyors & Miners						CM: Increase Dilithium mining rate OA: Increase Warp Speed when Cargo is full															
	R	Dupont	0	0	0	0	0	Surveyors & Miners						CM: Increase G3 Crystal, Gas and Mining Speed OA: Increase Protected Cargo															
	U	Eight Of Eleven	0	0	0	0	0	Unimatrix Twelve						CM: Increase Critical Hit chance against Borg OA: Increase Attack of all Officers on the ship															
	E	Eleven Of Eleven	0	0	0	0	0	Unimatrix Twelve						CM: Increase Mining Speed (Crystal) OA: Increase Warp Speed															
	R	Emperor Georgiou	0	0	0	0	0	Terran Empire						CM: When attacking a player during takeover. Decrease opponent's Officer Defence OA: When attacking a player on a capture node, Increase number of shots at start of each round.															
	R	Ent-E Data	0	0	0	0	0	Enterprise-E						BDA: Increases ship's Max Cargo OA: Increases Isolytic Cascade Damage versus non-Armada Hostile															
	E	Ent-E Picard	0	0	0	0	0	Enterprise-E						CM: Increases the rewards gained from Hostiles and Armadas OA: Increases Isolytic Cascade Damage for 3 rounds each time you hit an non-Armada Hostile (once per weapon)															
	E	Ent-E Riker	0	0	0	0	0	Enterprise-E						CM: Increases your ship's base Impulse Speed OA: Increases Critical Hit Chance for 4 rounds each time you score a hit (Once per weapon)															
	R	Ent-E Troi	0	0	0	0	0	Enterprise-E						BDA: Increases Critical Hit Damage versus Armadas and Hostiles OA: Reduces the opponent's shield by % of Officer Attack at the beginning of each round versus non-Armada Hostiles															
	E	Eurydice	0	0	0	0	0	Mudd's Crew						CM: Increase Damage when taking SHP damage OA: Chance to heal 5% shields when they are depleted															
	R	Fess	0	0	0	0	0	Ferengi Conglomerate						CM: Increase base mining speed OA: Reduce Protected Cargo															
	E	Five Of Eleven	0	0	0	0	0	Unimatrix Twelve						CM: Increase Mitigation by Officer Health OA: Increase Resources dropped															
	E	Four Of Eleven	0	0	0	0	0	Unimatrix Twelve						CM: Increase Ore mining speed OA: Increase Cargo Size															
	C	Gaila	0	0	0	0	0	Starfleet Academy						CM: Increase Parsteel rewards from Hostiles OA: Decrease Critical Damage from Hostiles															
	R	Garak	0	0	0	0	0	Interceptor Strike Team			Breach		Y	CM: When on an Interceptor and fighting a player with Hull Breach. Each round, reduces opponent's Kritical Weapon Damage. OA: When on an Interceptor and fighting a player with Hull Breach. Each round, Increases Critical Hit Chance															
	E	Geordi La Forge	0	0	0	0	0	TNG Crew						CM: Increase Rewards from Armadas OA: Increase Weapon Damage against Klingon Hostiles and Armadas															
	E	Georgiou	0	0	0	0	0	Discovery Crew			Burning	Y	Y	CM: Decrease opponents officers attack when opponent is burning OA: Chance to deal Burning for two rounds at the start of each round															
	R	Ghalenar	0	0	0	0	0	Unimatrix Twelve						BDA: Increases the amount of resources dropped from Actian Apex and Borg hostiles by a percentage of base. OA: Increases Faction Reptation gained from Fed, Kling and Rom hostiles															
	E	Ghrush	0	0	0	0	0	Syndicate						CM: Increase Protected Cargo OA: Increase Warp Range															
	U	Gonzales	0	0	0	0	0	Starfleet Academy						CM: Increase Critical Hit Chance against Hostiles OA: Increase Critical Hit Damage against Hostiles															
	U	Goon	0	0	0	0	0	Mudd's Crew						CM: Inctease Critical Hit Chance against Hostiles for first round OA: Increase Ship XP gained while fighting															
	E	Gorkon	0	0	0	0	0	Klingon Patriots			Breach	Y		CM: Increase Critical Hit Chances for first 2 rounds OA: Chance to cause Hull Breach for 3 rounds when hitting with Critical Hit															
	R	Gossa	0	0	0	0	0	Unimatrix Twelve			Assimilate		Y	BDA: When fighting a player ship with Assimilate, increase the ship's Armour, Shield Deflection and Dodge (Cumulative) OA: When fighting against a Borg Solo Armada, at the start of each round, reduce target's Damage for 1 round															
	R	Gowron	0	0	0	0	0	Khitomer's Revenge						CM: Increase Energy Weapon Damage OA: Increase ship's Shield Deflection by Health of crew															
	E	Gul Dukat	0	0	0	0	0	Interceptor Strike Team			Breach	Y	Y	CM: While on an Interceptor fighting a player, at the start of a round, chance to apply Hull Breach for 3 rounds. OA: When shot while on an Interceptor, fighting a player with Hull Breach, increase number of shots per weapon for 5 rounds															
	C	Hadley	0	0	0	0	0	Shakedown Cruise						CM: Increase Warp Speed of ship OA: Increase Exoerience gained on Survey Ships															
	R	Harrison	0	0	0	0	0	Section 31						CM: Increase Damage against Explorers OA: Ignore % of opponents shield for the first round of combat															
	R	Harry Kim	0	0	0	0	0	Voyager			Morale	Y		BDA: Chance to apply Morale to non-player or Armada for 1 round OA: Increases all positive Reputation gains															
	E	Harry Mudd	0	0	0	0	0	Mudd's Crew						CM: Chance to have 98% Shield Mitigation for the first two combat rounds OA: Chance of Double Shots in the first round															
	C	Helvia	0	0	0	0	0	Surveyors & Miners						CM: Increase Parsteel mining OA: Increase Warp Speed when Cargo is empty															
	U	Hendorff	0	0	0	0	0	Shakedown Cruise						CM: Increase mitigation when Hull Health is below 60% of Health at start of battle OA: Increase Ship XP on Explorers															
	E	Honorguard Worf	0	0	0	0	0	Khitomer's Revenge						CM: When fighting other players, increases Armor Piercing by % of Crew Attack whenever ship scores a critical hit OA: For the first 8 rounds of combat against other players, increases the Critical Hit Chance of the ship															
	R	Hoshi Sato	0	0	0	0	0	Enterprise NX-01						BDA: Increases Gas mining speed OA: Increases Cargo Size of the ship															
	E	Hugh	0	0	0	0	0	Unimatrix Twelve						BDA: Chance to increase the Critical Hit Chance for 2 rounds after being hit by a hostile. OA: Increases Impulse Speed of ship															
	R	Ikat'ika	0	0	0	0	0	Explorer Strike Team			Morale		Y	CM: Increases all Mitigation stats for 1 round, every round, when fighting players and on an Explorer. OA: Increases Weapon Damage at the start of each round, for 3 rounds, when fighting players, and on an Explorer with Morale															
	C	Instructor Spock	0	0	0	0	0	Another Time						CM: Increase Damage OA: Increase Mitigation															
	E	Jack Ransom	0	0	0	0	0	Explorer Strike Team			Breach		Y	BDA: On round start, if on an Interceptor and Enemy Player has Hull Breach, Increases Isolytic Defense for 1 round OA: On round start, if on an Explorer with Morale, Increase Isolytic Cascade for 1 round															
	E	Jadzia Dax	0	0	0	0	0	Deep Space Nine						CM: Increase Shield Piercing, Armor Piercing, and Accuracy by Officer Health against Solo Armada OA: Increase Weapon Damage by Health of crew against Solo Armadas															
	U	Javaid	0	0	0	0	0	Nero's Crew						CM: Increase Shield Piercing OA: Increase Armor on a battleship															
	E	Jaylah	0	0	0	0	0	Jaylah						CM: Increase Resources from hostiles when in any Franklin OA: Increase number of shots against Swarms in any Franklin															
	E	Jean-Luc Picard	0	0	0	0	0	TNG Crew						CM: Increase the effectiveness of all Officer Abilities that trigger in combat OA: Increase Critical Damage against Hostiles and Armadas															
	R	Joachim	0	0	0	0	0	Khan's Crew						CM: Chance to drastically increase ship mitigation against Stations for first round OA: Decrease all opponents ships and defence platform damage in Station Combat															
	U	Joaquin	0	0	0	0	0	Khan's Crew						CM: Increase Protected Cargo OA: Increase Data Mining Speed															
	E	Jonathan Archer	0	0	0	0	0	Enterprise NX-01						CM: Increase the amount of resources you get from destroying Xindi hostiles OA: When you take damage from a hostile or another player, increase Critical Hit Damage for 2 rounds															
	R	Julian Bashir	0	0	0	0	0	Deep Space Nine						CM: Increase Critical Hit Damage against Solo Armadas OA: Increase Critical Hit Chance against Solo Armadas															
	C	K'Bisch	0	0	0	0	0	Surveyors & Miners						CM: Increase Tritanium mining rate OA: Decrease Damage taken when mining (*Bugged*)															
	E	Kang	0	0	0	0	0	Blood & Honor			Breach	Y		CM: Chance to cause Hull Breach at the start of combat OA: Increase Accuracy by Crews Attack															
	E	Kathryn Janeway	0	0	0	0	0	Voyager						CM: When you take hull damage from a non-player hostile os Armada, Increase Shield Mitigation for 1 round (cumulative) OA: At the start of combat, increases Isolytic damage against non-player hostile and armadas															
	U	Kati	0	0	0	0	0	Khan's Crew						CM: Increase Critical Hit Chances against Defence Platforms OA: Increase Critical Hit Damage in Station Combat															
	R	Keenser	0	0	0	0	0	Auxiliary Controls						CM: Increase Hull Health as long as ship is in the station OA: Increase Shield Health as long as ship is in the station															
	R	Kerla	0	0	0	0	0	Klingon Patriots						CM: Increase Dodge when the Shields are deleted OA: Increase Critical Damage with Kinetic Weapons															
	E	Khan	0	0	0	0	0	Khan's Crew						CM: Chance to dramatically Decrease opponent's station and ship mitigation for 2 rounds OA: Increase Critical Chances every time the ship gets hit															
	R	Kira Nerys	0	0	0	0	0	Deep Space Nine						BDA: Reduce opponent player Critical Hit Chance OA: Decreases Shield Mitigation by															
	E	Kirk	0	0	0	0	0	Enterprise Crew			Morale	Y	Y	CM: Increase all officer stats when the ship has Morale OA: Chance to inspire Morale to his ship for 2 rounds															
	U	Klaa	0	0	0	0	0	Glory in the Kill						CM: Increase Impulse Speed OA: Increase Critical Hit Damage															
	C	Komal	0	0	0	0	0	Glory in the Kill						CM: Increase Weapon Damage of Battleships against players OA: Decrease Kinetic Weapon Damage from enemy players															
	U	Koth	0	0	0	0	0	Klingon Patriots			Breach		Y	CM: Increase Repair speed on this ship if it is an Interceptor OA: Increase Kinetic damage while opponent has Hull Breach															
	E	Kras	0	0	0	0	0	Glory in the Kill						CM: Decrease opponents Captain's Maneuver effectiveness OA: Decrease all the stats of the opponents Bridge Officers															
	R	Krell	0	0	0	0	0	Blood & Honor						CM: Chance to causing Hull Breach for 1 round when receiving Shield Damage OA: Increase Damage to Federation ships by % of crew's Defence															
	R	Kumak	0	0	0	0	0	Nero's Crew			Burning		Y	CM: Increase Officer Stats each round OA: Increase mitigation when opponent is burning															
	R	Kuron	0	0	0	0	0	Blood & Honor						CM: Chance to automatically recharge first kinetic hit OA: Increase Impulse speed after destroying a ship															
	U	L'Nar	0	0	0	0	0	Romulan Patriots						CM: Increase Health of Bridge Officers OA: Increase Damage Against Klingon ships by % of crew's Attack															
	R	Laliari	0	0	0	0	0	Galaxy Quest						BDA: Increases the Apex Barrier when in Wave Defense OA: Decreases the cooldown of the NSEA Protectors Omega-13 Ability															
	U	Leslie	0	0	0	0	0	Shakedown Cruise						CM: Restore Hull Health when under 35% of starting value OA: Increase Ship XP on Battleships															
	R	Lieutenant Picard	0	0	0	0	0	Next Gen						CM: Increases Apex Barrier against non-Armada hostiles of level 35 and under OA: Increases Shield Health vs non-Armada hostiles															
	U	Linkasa	0	0	0	0	0	Blood & Honor						CM: Increase Officers Defence for 1 min after winning OA: Increase Armor by % of total Attack at the start of combat															
	R	Livis	0	0	0	0	0	Nero's Crew						CM: Increase repair speed on this ship if it is a Battleship OA: Increase ship's max Hull Health if it is a Battleship															
	E	Lorca	0	0	0	0	0	Terran Empire			Breach	Y	Y	CM: Decrease opponents damge if they have Hull Breach OA: Chance to inflict Hull Breach															
	U	Lursa	0	0	0	0	0	Pride Of Romulus						CM: When on a ship that can use cloaking, Lursa decreases the cloaking cooldown OA: When attacking other players, Lursa decreases the opponent's Weapon Damage															
	C	M'Benga	0	0	0	0	0	Auxiliary Controls						CM: Increase Armor Piercing, Shield Piercing and Accuracy when defending the Station OA: Increase Mitigation when defending the Station															
	U	M'Ral	0	0	0	0	0	Klingon Patriots						CM: Increase Armor Piercing OA: Increase Attack of crew (**Broken Bridge Only**)															
	U	Mäkinen	0	0	0	0	0	Surveyors & Miners						CM: Increase Mining Speed (All) OA: Increase Mining Speed (Isogen)															
	R	Mara	0	0	0	0	0	Blood & Honor			Breach		Y	CM: Increase Damage against Interceptors OA: Decrease opponent's dodge every round when it has Hull Breach															
	E	Marcus	0	0	0	0	0	Section 31			Morale	Y		CM: Chance to inspire morale when opponent's HHP is under 80% OA: Increase Shield piercing by crew's Defence															
	R	Marla	0	0	0	0	0	Khan's Crew						CM: Increase Ships repair speed OA: Increase ships Captain's stats															
	R	Martok	0	0	0	0	0	Khitomer's Revenge						CM: Increase Kinetic Weapon Damage OA: Increase ship's Dodge by Defence of crew															
	E	Mavery	0	0	0	0	0	Syndicate						CM: Increase Max Cargo OA: Increase Crystal, Gas and Ore mining speed															
	E	Michael Burnham	0	0	0	0	0	Discovery Crew						CM: Increase Impulse Speed OA: Decrease opponent's SHP by % Crew's Attack															
	R	Miles O'Brien	0	0	0	0	0	Deep Space Nine						BDA: Increases Warp Speed OA: At the start of each round, chance to double shots against armadas for 3 rounds.															
	R	Mirek	0	0	0	0	0	Romulan Patriots			Burning	Y		CM: Chance to cause burning for 1 round when ship is hit OA: Increase Damage against Federation by % of crew's Defence															
	R	Mirror Data	0	0	0	0	0	Mirror Universe			Assimilate	Y		CM: On combat start against player Interceptor, increases Apex Barrier OA: On round start, chance to apply Assimilate for 2 rounds															
	R	Mirror Ezri	0	0	0	0	0	Mirror Universe			Assimilate		Y	CM: On combat start against player Battleships increases Apex Barrier OA: On round start against players with Assimilate, increases Kinetic weapon damage for 1 round															
	E	Mirror Kira	0	0	0	0	0	Mirror Universe			Assimilate		Y	CM: On round start against players, increases Apex Barrier for 5 rounds (cumulative) OA: On round start against players with Assimilate, increases shots for 5 rounds (cumulative)															
	E	Mirror Picard	0	0	0	0	0	Mirror Universe			Assimilate		Y	CM: On round start against players, increases Isolytic Cascade OA: On round start against players with Assimilate, increases Apex Barrier															
	R	Mirror Troi	0	0	0	0	0	Mirror Universe			Assimilate		Y	CM: On combat start against player Explorers increases Apex Barrier OA: On round start against players with Assimilate, increases Energy weapon damage for 1 round															
	E	Mitchell	0	0	0	0	0	Auxiliary Controls						CM: Increasae all officer stats on board when defending a station OA: Increase Damage for 1 round when hit by a critical															
	R	Moreau	0	0	0	0	0	Shakedown Cruise						CM: % Shield healed after winning OA: Decrease hostile penetration															
	E	Mudd	0	0	0	0	0	Mudd's Crew						CM: Decrease Armada Target Weapon Damage when taking damage OA: Increase damage when shields are depleted															
	E	Naga Delvos	0	0	0	0	0	Emerald Chain						BDA: Increases base repair cost efficiency of the ship OA: Increases the base damage of the Borg Cube's Cutting Beam against players															
	R	Navi	0	0	0	0	0	Khan's Crew			Breach		Y	CM: Increase Critical Damage when own ship has Hull Breach OA: Increase mitigation when own ship has hull breach															
	R	Neelix	0	0	0	0	0	Voyager			Burning	Y		BDA: Chance to cause Burning versus non-player hostiles and Armadas, does not trigger with Tal on the bridge. OA: Increases Cost Efficiency of Voyager's active ship ability															
	E	Nero	0	0	0	0	0	Nero's Crew			Burning	Y	Y	CM: Increase Damage when opponent's ship is Burning OA: Chance to cause Burning when hitting enemy															
	E	Nesmith	0	0	0	0	0	Galaxy Quest						CM: Decreases Invading Entities Shield Mitigation OA: Increases your Apex Barrier when fighting hostiles															
	C	Next Gen Crusher	0	0	0	0	0	Next Gen						CM: Increase Health of all Officers on the ship OA: Increase Captains Maneuver															
