Headings,Immed. Value,Upgrade Value,Overall Score,Notes (Score's descriptions are on the Instructions Sheet.),Headings.1,Effect,Cause,Use,"Captain Manouver, Below Decks and Officer Ability"
Vemet,1.5,3.0,2.0,Captain: respawns your ship up to 3 times; Officer: Combine with Georgiou to remove every single round,Vemet,Burning,,Y,CM: Resurrect with % Hull Health OA: Decrease Shield Health of a Burning opponent by % of crew's Health
Vixis,4.5,4.5,4.5,Do not bother with this officer,Vixis,,,,"CM: Chance to delay opponent's Weapons each round, for 1 round OA: Decrease Energy Damage from players"
Wesley Crusher,3.5,3.5,3.5,Captain: +damage (vs. everything) increase applies once!; Officer: Self stat boost - Bug - Does not work at all,Wesley Crusher,,,,CM: Increase Damage against Hostiles and Armadas OA: Increases own stats
Weyoun,1.0,2.5,1.5,Captain: 100% chance of morale with full synergy in PvP when on an Explorer; Increase weapon shots in PvP when on an Explorer.,Weyoun,Morale,Y,Y,"CM: On round start, chance to apply Morale for 3 rounds when fighting against a player, if on an Explorer OA: Increases Weapon Shots at the start of each round, for 2 rounds, when fighting players and on an Explorer with Morale"
William T. Riker,1.0,3.5,2.0,Captain: Cumulative damage to armadas; Officer: Increase to damage against Federation Hostiles and Armadas,William T. Riker,,,,CM: Increases Weapon Damage against Armada Targets (Cumulative) OA: Increases Damage against Federation Hostiles and Armadas
Worf,4.0,4.5,4.0,"Captain: Limited use; Officer: Not as strong as Beverly, similar to Moreau but increases your mitigation, rather than decreasing hostile's penetration.",Worf,,,,"CM: After winning a battle, Worf increases the Warp Speed of the ship. This bonus does not stack, and is removed when returning to your station. OA: Increases all Mitigation stats against non-player targets"
Woteln,5.0,5.0,5.0,Captain: very small damage increase; Officer: very small Dodge increase,Woteln,,,,CM: Increase damage if opponent's ship is a Battleship OA: Increase dodge when aboard an Interceptor
Yan'Agh,4.0,3.0,3.5,Captain: do not bother; Officer: get him to max before use,Yan'Agh,,,,CM: Increase damage after depleting the opponent's Shield Health OA: Increase Damage to Romulans by % of crew's Health
Yuki,2.0,1.0,1.5,Captain: the best shield removel ability in game; Officer: anti romulan damage - get her to max,Yuki,,,,CM: Decrease the shield Health of the opponent's ship each round OA: Increase Damage to Romulans by % of crew's Health
Zahra,5.0,5.0,5.0,Do not bother with this officer,Zahra,,,,CM: Increase ships Hull Health when defending a station OA: Increase Damage dealt when defending a Station
Zhou,3.5,2.0,2.5,"Officer: increases your Defense Mitigation with Defense - perfect fit with Kirk + Spock, max him quickly!",Zhou,Morale,,Y,CM: Increase Defence of bridge officers OA: Increase Mitigation by % of crew's Defence when having Morale
,,,,,,,,,
